name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
Screenshot-to-code,{'name': 'HTML'},{'totalCount': 4},https://github.com/emilwallner/Screenshot-to-code,{'totalCount': 12614},{'totalCount': 531},{'totalCount': 1229},51633
Virgilio,{'name': 'Jupyter Notebook'},{'totalCount': 6},https://github.com/virgili0/Virgilio,{'totalCount': 12581},{'totalCount': 862},{'totalCount': 2442},27041
gun,{'name': 'JavaScript'},{'totalCount': 5},https://github.com/amark/gun,{'totalCount': 11765},{'totalCount': 315},{'totalCount': 684},31943
ray,{'name': 'Python'},{'totalCount': 14},https://github.com/ray-project/ray,{'totalCount': 11687},{'totalCount': 375},{'totalCount': 1694},58019
pytorch-handbook,{'name': 'Jupyter Notebook'},{'totalCount': 1},https://github.com/zergtant/pytorch-handbook,{'totalCount': 11506},{'totalCount': 470},{'totalCount': 3525},76280
Paddle,{'name': 'C++'},{'totalCount': 10},https://github.com/PaddlePaddle/Paddle,{'totalCount': 11492},{'totalCount': 687},{'totalCount': 2926},195316
LightGBM,{'name': 'C++'},{'totalCount': 8},https://github.com/microsoft/LightGBM,{'totalCount': 11023},{'totalCount': 439},{'totalCount': 2840},12416
gensim,{'name': 'Python'},{'totalCount': 6},https://github.com/RaRe-Technologies/gensim,{'totalCount': 10831},{'totalCount': 448},{'totalCount': 3550},96553
python-machine-learning-book,{'name': 'Jupyter Notebook'},{'totalCount': 5},https://github.com/rasbt/python-machine-learning-book,{'totalCount': 10667},{'totalCount': 830},{'totalCount': 3878},158091
learnopencv,{'name': 'Jupyter Notebook'},{'totalCount': 14},https://github.com/spmallick/learnopencv,{'totalCount': 10654},{'totalCount': 847},{'totalCount': 6865},326127
stanford-cs-229-machine-learning,,{'totalCount': 0},https://github.com/afshinea/stanford-cs-229-machine-learning,{'totalCount': 10456},{'totalCount': 621},{'totalCount': 2503},38339
awesome-nlp,,{'totalCount': 0},https://github.com/keon/awesome-nlp,{'totalCount': 10427},{'totalCount': 594},{'totalCount': 1779},542
Machine-Learning-Tutorials,,{'totalCount': 0},https://github.com/ujjwalkarn/Machine-Learning-Tutorials,{'totalCount': 10299},{'totalCount': 802},{'totalCount': 2630},9028
google-research,{'name': 'Jupyter Notebook'},{'totalCount': 14},https://github.com/google-research/google-research,{'totalCount': 10239},{'totalCount': 498},{'totalCount': 1897},345887
nsfw_data_scraper,{'name': 'Shell'},{'totalCount': 3},https://github.com/alex000kim/nsfw_data_scraper,{'totalCount': 10095},{'totalCount': 408},{'totalCount': 2616},8470
tensor2tensor,{'name': 'Python'},{'totalCount': 6},https://github.com/tensorflow/tensor2tensor,{'totalCount': 10030},{'totalCount': 456},{'totalCount': 2516},15992
Awesome-pytorch-list,,{'totalCount': 0},https://github.com/bharathgs/Awesome-pytorch-list,{'totalCount': 9995},{'totalCount': 578},{'totalCount': 2116},875
dive-into-machine-learning,,{'totalCount': 0},https://github.com/hangtwenty/dive-into-machine-learning,{'totalCount': 9970},{'totalCount': 592},{'totalCount': 1728},528
